Loss,Validation Loss
3.894365173066035,3.3095394825935363
2.457261096977163,3.051015703678131
1.9372641647350974,2.5610332229733466
1.6592339005728718,2.372016323208809
1.4854346179054119,2.2572859066724775
1.3494543465785682,2.0186318051815033
1.2536913849326083,1.8832941192388535
1.2206179043714656,1.7862989071011544
1.1114675413264195,1.6342254036664963
1.0981660036559333,1.6986658000946044
1.0386823297740193,1.635373205244541
0.9709882167517208,1.659081230610609
0.968756804104487,1.4733762994408608
0.9247748304915149,1.3911867335438728
0.8700779418286402,1.363090177103877
0.8631517577305203,1.3902302053570748
0.8426137611240847,1.407258108407259
0.8215523504113662,1.3733596678078175
0.7753260523677454,1.3044461967051029
0.7650669818794995,1.2325732976198196
0.7324765292287339,1.1809427694976329
0.7455244417942595,1.3135189690440894
0.7155043113525608,1.193688168078661
0.7004059133287228,1.1631703189015388
0.6751038683796651,1.1259210000932216
0.6938197428935382,1.1974449327588081
0.6649806581735902,1.1601771218329668
0.6579219939048926,1.0394485471397639
0.6265334531835833,1.1098889680206776
0.6450000583026849,1.1621474297903478
0.5882351416421443,1.0572305604815484
0.5684499768030946,1.1693908478319646
0.5719312228029594,0.9602539782226086
0.5533854527056974,0.9604471915960312
0.5107486924607656,1.014309263601899
0.5048849673357836,0.9513622672110796
0.5041889961212291,0.9915847404301167
0.5031456801607419,1.0086390934884548
0.49708670765176066,0.9364051518961787
0.4833611726153322,0.9221651324816048
0.4647204433094885,0.9527059513889253
0.468013711909407,0.9510274093598128
0.4772879629799718,0.9912565196305514
0.45921022989205085,0.9804498473927379
0.4437146676755219,0.8618224476277828
0.4119806449089083,0.846741009503603
0.4154795613085298,0.8573857740312815
0.3951639454044198,0.8917252259328962
0.3978136829437062,0.8820797789935022
0.3994047506498646,0.8278294765204192
0.4070916837808909,0.8775284656509758
0.3690406879134116,0.865396911110729
0.3917925553751047,0.8595614961348474
0.36898069698236213,0.8589577849581838
0.3884701542910989,0.8661066794209182
0.35537230397858366,0.7897296185046434
0.35135374121000496,0.8175160537660122
0.3375700355272784,0.8343738611042499
0.34452693910952803,0.8101265566051006
0.34192972102528074,0.7483490731567144
0.32835029035322805,0.821813830435276
0.3402738810282244,0.7816162536665797
0.32158000382105456,0.8256180577538907
0.3218679249455363,0.7925110545009375
0.3201983030987776,0.7855300542712211
0.3239941604520027,0.7656391379795968
0.30784440659726897,0.7560434076562523
